# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	14555
#@/user_id	95b5c598-e3d7-4e3e-99a8-9ddd8ef1376f
a 	啊	c=37 d=1.81578 t=13528
xiao zhang 	校長	c=1 d=1 t=9511
xiao zhong 	小衆	c=1 d=1 t=9179
xie 	寫	c=2 d=1.03239 t=9802
xie 	謝	c=2 d=1.93239 t=1290
xie de 	寫的	c=1 d=1 t=896
xie le 	寫了	c=1 d=1 t=9820
xie ru 	寫入	c=2 d=1 t=11158
xie tiao 	協調	c=1 d=1 t=8666
xie xie 	謝謝	c=37 d=4.02001 t=12763
xie xie la 	謝謝啦	c=1 d=1 t=718
xie yi ge 	寫一個	c=1 d=1 t=9803
xie zai 	卸載	c=2 d=1.57695 t=10541
xie zhu 	協助	c=1 d=1 t=660
xie zuo 	寫作	c=1 d=1 t=1784
xin 	新	c=9 d=1.10589 t=12294
xin dian nao 	新電腦	c=1 d=1 t=7837
xin hao 	信號	c=16 d=5.92113 t=14421
xin ji 	心機	c=1 d=1 t=14102
xin jian 	新建	c=1 d=1 t=10929
xin ku 	辛苦	c=1 d=1 t=10994
xin mai 	新買	c=2 d=1.63128 t=522
xin qing 	心情	c=1 d=1 t=8638
xin wen 	新聞	c=1 d=1 t=285
xin xi 	信息	c=20 d=1.64534 t=14453
xing 	性	c=68 d=2.12233 t=14372
xing 	星	c=2 d=1.99501 t=7710
xing 	行	c=1 d=1 t=1359
xing bian 	形變	c=4 d=3.87412 t=12898
xing bian lv 	形變率	c=1 d=1 t=12876
xing hao 	型號	c=2 d=1 t=14361
xing ming 	姓名	c=1 d=1 t=5430
xing neng 	性能	c=23 d=1.0008 t=13709
xing neng zhi biao 	性能指標	c=2 d=1.90937 t=3868
xing rong 	形容	c=1 d=1 t=11656
xing rong ci 	形容詞	c=1 d=1 t=11659
xing shi 	形式	c=14 d=1 t=10406
xing zhi 	性質	c=6 d=2.83817 t=5235
xiong 	兄	c=1 d=1 t=10812
xiu gai 	修改	c=21 d=1.01955 t=11507
xiu mian 	休眠	c=1 d=1 t=12722
xiu shi 	修飾	c=2 d=1.98511 t=11660
xiu xi 	休息	c=0 d=0.1 t=14050
xiu zheng 	修正	c=1 d=1 t=11829
xu 	需	c=0 d=0.1 t=5160
xu duo 	許多	c=3 d=1.00034 t=13809
xu eh su 	需誒素	c=3 d=2.7871 t=10150
xu lie hao 	序列號	c=1 d=1 t=6497
xu lun 	緒論	c=0 d=0.1 t=1833
xu lun zhong 	緒論中	c=1 d=1 t=1834
xu xiao 	續效	c=1 d=1 t=1216
xu yao 	需要	c=43 d=1.17796 t=13779
xuan 	選	c=2 d=1 t=13112
xuan li 	絢麗	c=1 d=1 t=10843
xuan xiang 	選項	c=5 d=1 t=13110
xuan ze 	選擇	c=22 d=1.23916 t=12957
xue 	學	c=2 d=1 t=8602
xue guo 	學過	c=1 d=1 t=1257
xue hao 	學號	c=1 d=1 t=7487
xue sheng 	學生	c=7 d=1.00471 t=10829
xue shi 	學士	c=0 d=0.1 t=6519
xue shi lou 	學士樓	c=11 d=1.00001 t=14286
xue shu 	學術	c=32 d=2.31874 t=14180
xue wei 	學位	c=4 d=1.93914 t=8745
xue xi 	學習	c=5 d=3.33789 t=10517
xue xiao 	學校	c=12 d=2.73893 t=13470
xue yuan 	學院	c=2 d=1 t=7492
xue zhi qian 	薛之謙	c=1 d=1 t=11187
xun 	訓	c=2 d=1.03916 t=9489
xun huan 	循環	c=1 d=1 t=11420
xun su 	迅速	c=1 d=1 t=12726
xun zhao 	尋找	c=1 d=1 t=9097
ya 	亞	c=1 d=1 t=8476
ya 	呀	c=18 d=1.77883 t=13582
ya ma xun 	亞馬遜	c=3 d=1 t=14217
yan 	言	c=1 d=1 t=8056
yan 	閆	c=1 d=1 t=11288
yan ji 	演技	c=1 d=1 t=3400
yan jin 	嚴謹	c=2 d=1.97531 t=1769
yan jiu 	研究	c=73 d=2.30757 t=14486
yan jiu chu 	研究出	c=1 d=1 t=3407
yan jiu le 	研究了	c=1 d=1 t=1703
yan jiu sheng 	研究生	c=8 d=1.01062 t=8556
yan jiu suo 	研究所	c=6 d=1 t=7525
yan se 	顏色	c=4 d=1.00217 t=13417
yan shi 	延時	c=11 d=1.21355 t=5974
yan zheng 	驗證	c=14 d=1.15476 t=13745
yan zheng ma 	驗證碼	c=2 d=1.96079 t=10125
yang 	楊	c=12 d=3.44238 t=11027
yang 	陽	c=4 d=2.88504 t=5520
yang shi xiong 	楊師兄	c=1 d=1 t=10810
yang zi 	樣子	c=2 d=1.81058 t=11480
yao 	妖	c=5 d=0.180471 t=11686
yao 	要	c=14 d=1.00039 t=12729
yao bi 	要比	c=1 d=1 t=5797
yao bu 	要不	c=4 d=1.04641 t=8248
yao bu yao 	要不要	c=1 d=1 t=7360
yao ji xu 	要繼續	c=1 d=1 t=10614
yao jing 	妖精	c=4 d=2.95582 t=11097
yao qiu 	要求	c=8 d=1 t=13972
yao shen ji 	妖審計	c=1 d=1 t=11687
yao shi 	鑰匙	c=1 d=1 t=9487
yao si 	要死	c=0 d=0.1 t=7221
yao si yao si yao si 	要死要死要死	c=1 d=1 t=7222
ye 	也	c=22 d=1.44239 t=13448
ye 	頁	c=45 d=1.00443 t=10743
ye hui 	也會	c=1 d=1 t=14324
ye jiu 	也就	c=1 d=1 t=12341
ye jiu shi 	也就是	c=2 d=1.00093 t=9423
ye ke yi 	也可以	c=2 d=1.00345 t=8235
ye mian 	頁面	c=8 d=4.36465 t=13336
ye neng 	也能	c=1 d=1 t=10807
ye shi 	也是	c=7 d=1.11597 t=9850
ye shu 	頁數	c=1 d=1 t=6709
ye si 	也似	c=1 d=1 t=11275
ye xu yao 	也需要	c=1 d=1 t=7163
ye yao 	也要	c=2 d=1 t=9902
ye ye 	爺爺	c=1 d=1 t=2842
ye zai 	也在	c=1 d=1 t=12328
yi 	一	c=1 d=1 t=1692
yi 	乙	c=26 d=1.98609 t=10474
yi 	以	c=8 d=1 t=13813
yi 	已	c=1 d=1 t=7501
yi ban 	一般	c=4 d=1.00034 t=14124
yi ben zheng jing 	一本正經	c=1 d=1 t=11029
yi chang 	異常	c=2 d=1 t=13285
yi chu 	移除	c=2 d=1 t=6068
yi ci 	一次	c=1 d=1 t=7261
yi ci 	依次	c=1 d=1 t=4172
yi da dao 	已達到	c=1 d=1 t=3900
yi dian 	一點	c=1 d=1 t=10366
yi dian dian 	一點點	c=1 d=1 t=9580
yi ding 	一定	c=9 d=1.68195 t=6885
yi ding shi 	一定是	c=1 d=1 t=11840
yi dong 	移動	c=6 d=1.0001 t=8670
yi dun 	一頓	c=1 d=1 t=4781
yi ge 	一個	c=52 d=2.50874 t=14490
yi ge ren 	一個人	c=1 d=1 t=9568
yi gong 	一共	c=2 d=1.00119 t=10919
yi hou 	以後	c=11 d=1.52497 t=13502
yi hui 	一會	c=3 d=1.97531 t=12751
yi ji 	以及	c=7 d=1.0004 t=5097
yi jia 	宜家	c=2 d=1.99501 t=8627
yi jian 	意見	c=5 d=1.08374 t=9543
yi jian shi 	一件事	c=1 d=1 t=8223
yi jing 	已經	c=27 d=2.5441 t=13988
yi kong 	一空	c=1 d=1 t=8665
yi ku 	衣褲	c=0 d=0.1 t=9760
yi lai 	依賴	c=20 d=1 t=12845
yi lei 	一類	c=5 d=1 t=12879
yi liang 	一輛	c=1 d=1 t=8461
yi nian hou 	一年後	c=1 d=1 t=497
yi peng 	一碰	c=0 d=0.1 t=977
yi pian 	一篇	c=1 d=1 t=9811
yi qi 	一起	c=5 d=1 t=12278
yi shi 	意識	c=1 d=1 t=6777
yi tao 	一套	c=1 d=1 t=1949
yi tou 	一頭	c=2 d=1.99501 t=8231
yi wai 	以外	c=1 d=1 t=296
yi xia 	一下	c=35 d=1.4808 t=13336
yi xie 	一些	c=13 d=2.35218 t=12706
yi yan 	一眼	c=0 d=0.1 t=3906
yi yan zheng 	一眼正	c=1 d=1 t=3907
yi yang 	一樣	c=5 d=1.00771 t=14035
yi yi 	意義	c=9 d=1.01842 t=13712
yi yuan 	醫院	c=1 d=1 t=14056
yi zhi 	一直	c=9 d=4.14586 t=12603
yi zhi 	一致	c=1 d=1 t=6949
yi zhi 	抑制	c=2 d=1.00016 t=11664
yi zhong 	一種	c=1 d=1 t=3311
yin 	銀	c=2 d=1.94176 t=6649
yin ci 	因此	c=38 d=1.15335 t=12269
yin hang 	銀行	c=2 d=1.0251 t=8024
yin hang ka 	銀行卡	c=5 d=2.02096 t=8749
yin li 	引理	c=6 d=2.91518 t=4443
yin lian 	銀聯	c=4 d=3.45553 t=8029
yin liang 	音量	c=7 d=3.64921 t=9279
yin ru 	引入	c=20 d=1.00657 t=6136
yin si 	隱私	c=1 d=1 t=13232
yin su 	因素	c=1 d=1 t=12281
yin wei 	因爲	c=13 d=3.05574 t=13556
yin xiang 	印象	c=3 d=1.02399 t=8682
yin ying 	陰影	c=1 d=1 t=2645
yin yong 	引用	c=4 d=1.09923 t=2078
ying 	應	c=1 d=1 t=2052
ying dang 	應當	c=1 d=1 t=13881
ying ga 	應噶	c=1 d=1 t=13402
ying gai 	應該	c=25 d=1.22099 t=14128
ying gai shi 	應該是	c=1 d=1 t=10765
ying jing 	應景	c=1 d=1 t=3908
ying pan 	硬盤	c=5 d=4.61482 t=6531
ying wen 	英文	c=4 d=1.78725 t=2059
ying xiang 	影響	c=12 d=1.98032 t=14380
ying yong 	應用	c=21 d=1.00852 t=13811
ying yong yu 	應用於	c=1 d=1 t=12918
ying yu 	英語	c=16 d=1.00135 t=14417
yo 	喲	c=0 d=0.1 t=7804
yo yi ge 	喲一個	c=1 d=1 t=7805
yong 	泳	c=2 d=1.84789 t=1421
yong 	用	c=43 d=1.59784 t=14244
yong bu liao 	用不了	c=1 d=1 t=8250
yong dao 	用到	c=1 d=1 t=13614
yong fa 	用法	c=1 d=1 t=198
yong you 	擁有	c=1 d=1 t=14083
yong yu 	用於	c=3 d=1.00148 t=14229
yong zhe 	用着	c=1 d=1 t=10610
you 	又	c=4 d=1.02887 t=9531
you 	有	c=34 d=1.00507 t=14202
you 	由	c=5 d=1 t=13829
you bi yao 	有必要	c=2 d=1.98511 t=1032
you dai 	有待	c=1 d=1 t=5304
you dao 	有道	c=12 d=8.60569 t=9311
you de 	有的	c=1 d=1 t=9023
you dian 	有點	c=4 d=1.00004 t=13301
you ge 	有個	c=4 d=1.98021 t=13044
you guan 	有關	c=4 d=1.08804 t=13480
you hua 	優化	c=2 d=1.95623 t=2831
you hui 	優惠	c=1 d=1 t=7132
you jia zhi 	有價值	c=1 d=1 t=12804
you jian 	右鍵	c=5 d=2.19504 t=13320
you jian 	郵件	c=4 d=1.90668 t=9745
you jie 	有界	c=2 d=1 t=13737
you ku 	優酷	c=10 d=1.00001 t=14158
you ling 	幽靈	c=7 d=6.65641 t=9473
you mei you 	有沒有	c=9 d=2.79684 t=11360
you na xie 	有哪些	c=2 d=1.99501 t=14174
you qi 	尤其	c=1 d=1 t=13256
you qing kuang 	有情況	c=1 d=1 t=7589
you shen me 	有什麼	c=3 d=1 t=9075
you shi 	優勢	c=4 d=1.00001 t=14205
you wei 	尤爲	c=1 d=1 t=11858
you wen ti 	有問題	c=2 d=1.07065 t=13295
you xi 	遊戲	c=2 d=1.00058 t=12674
you xia jiao 	右下角	c=2 d=1.9802 t=13042
you xian 	優先	c=2 d=1.99005 t=7198
you xian 	有限	c=2 d=1 t=13702
you xiang 	郵箱	c=9 d=2.23736 t=8853
you xiao 	有效	c=8 d=1.00077 t=14393
you xiao di 	有效地	c=1 d=1 t=4054
you xiao xing 	有效性	c=3 d=1.9802 t=13949
you xie 	有些	c=1 d=1 t=9733
you xiu 	優秀	c=4 d=2.9482 t=6781
you ya 	優雅	c=3 d=1.00249 t=9652
you yi ding 	有一定	c=1 d=1 t=6050
you yi ge 	有一個	c=5 d=1.03992 t=13405
you yi ku 	有衣褲	c=1 d=1 t=9761
you ying xiang 	有影響	c=1 d=1 t=14351
you yu 	由於	c=13 d=1.00006 t=13857
yu 	於	c=19 d=1.86783 t=12917
yu 	與	c=28 d=1.81268 t=13834
yu 	雨	c=2 d=1.956 t=5511
yu ci tong shi 	與此同時	c=2 d=1.26847 t=11917
yu dao 	遇到	c=4 d=2.82498 t=8402
yu ding 	預定	c=2 d=1.07065 t=4643
yu ju 	語句	c=1 d=1 t=1786
yu ming 	域名	c=3 d=2.8509 t=13388
yu qi 	預期	c=1 d=1 t=3763
yu qi de 	預期的	c=1 d=1 t=3761
yu she 	預設	c=1 d=1 t=12005
yuan 	元	c=3 d=1.97531 t=8843
yuan 	原	c=2 d=1 t=6261
yuan 	源	c=3 d=2.89819 t=9192
yuan 	遠	c=1 d=1 t=3654
yuan cheng 	遠程	c=2 d=1.44264 t=8128
yuan chuang xing 	原創性	c=1 d=1 t=6491
yuan dai ma 	源代碼	c=1 d=1 t=12096
yuan jian 	元件	c=1 d=1 t=13858
yuan li 	原理	c=1 d=1 t=11947
yuan xi tong 	原系統	c=11 d=2.60783 t=6386
yuan xian 	原先	c=2 d=1 t=6250
yuan yin 	原因	c=3 d=1.01105 t=8413
yuan yu 	源於	c=2 d=1.99501 t=11642
yue 	月	c=8 d=1.39377 t=9634
yue da 	越大	c=1 d=1 t=3753
yue du 	閱讀	c=2 d=1 t=7612
yue du qi 	閱讀器	c=2 d=1.99005 t=9220
yue kuai 	越快	c=2 d=1.59156 t=3864
yue mo 	月末	c=0 d=0.1 t=9548
yue mo ba 	月末吧	c=1 d=1 t=9549
yue shu 	約束	c=5 d=1 t=10257
yun 	雲	c=1 d=1 t=1070
yun qi 	運氣	c=1 d=1 t=1005
yun suan 	運算	c=2 d=1.17464 t=14342
yun xing 	運行	c=12 d=2.16786 t=14443
yun xu 	允許	c=1 d=1 t=5163
yun ying 	運營	c=1 d=1 t=6701
zai 	再	c=9 d=0.73134 t=13694
zai 	在	c=146 d=2.19845 t=14199
zai ci 	在此	c=7 d=2.19514 t=4828
zai hui 	再會	c=3 d=1.06776 t=7303
zai li mian 	在裏面	c=1 d=1 t=668
zai ma 	在嗎	c=1 d=1 t=11291
zai na li 	在哪裏	c=1 d=1 t=6127
zai shi shi 	再試試	c=1 d=1 t=13200
zai xian 	在線	c=3 d=1 t=13603
zai yu 	在於	c=1 d=1 t=6041
zan men 	咱們	c=8 d=1.0028 t=8868
zan men lia 	咱們倆	c=1 d=1 t=7446
zao 	早	c=1 d=1 t=491
zao cheng 	造成	c=3 d=1.05131 t=12633
zao dian 	早點	c=1 d=1 t=7393
ze 	則	c=1 d=1 t=5153
zen e 	譖惡	c=0 d=0.1 t=8635
zen e ma 	譖惡嗎	c=1 d=1 t=8636
zen me 	怎麼	c=10 d=1.27 t=11191
zen me ba ma 	怎麼爸媽	c=1 d=1 t=11
zen me ban 	怎麼辦	c=3 d=1.78868 t=768
zen me gai 	怎麼改	c=1 d=1 t=10960
zen me gan 	怎麼幹	c=1 d=1 t=10959
zen me la 	怎麼啦	c=1 d=1 t=8632
zen me yang 	怎麼樣	c=2 d=1 t=8500
zeng da 	增大	c=2 d=1 t=12215
zeng gao 	增高	c=1 d=1 t=5812
zeng jia 	增加	c=6 d=1.43391 t=14492
zeng yi 	增益	c=18 d=4.76194 t=13724
zhan 	站	c=1 d=1 t=7781
zhan che 	戰車	c=1 d=1 t=8463
zhan lang 	戰狼	c=2 d=1 t=14518
zhan shi 	展示	c=3 d=2.88995 t=11808
zhan shi 	戰士	c=1 d=1 t=11787
zhan tie 	粘貼	c=1 d=1 t=10573
zhan wang 	展望	c=1 d=1 t=5186
zhan yong lv 	佔用率	c=2 d=1.00001 t=3819
zhang 	張	c=5 d=1.00008 t=11519
zhang dan 	賬單	c=1 d=1 t=9083
zhang hao 	帳號	c=14 d=1 t=13530
zhang hu 	賬戶	c=8 d=2.86494 t=9429
zhao 	找	c=9 d=1.00823 t=14013
zhao 	照	c=1 d=1 t=9561
zhao dao 	找到	c=1 d=1 t=13413
zhao hao 	找好	c=1 d=1 t=9553
zhao ji 	着急	c=1 d=1 t=513
zhao le 	照了	c=1 d=1 t=9495
zhao pian 	照片	c=3 d=1.00057 t=11193
zhao sheng 	招生	c=1 d=1 t=301
zhao xiang 	照相	c=1 d=1 t=13176
zhao zhao 	找找	c=1 d=1 t=1123
zhe 	這	c=22 d=2.55003 t=14381
zhe bei zi 	這輩子	c=2 d=1.1653 t=938
zhe ben 	這本	c=1 d=1 t=13011
zhe bu fen 	這部份	c=6 d=1.66695 t=2936
zhe chang 	這場	c=1 d=1 t=12318
zhe dang 	遮擋	c=1 d=1 t=7352
zhe duan 	這段	c=4 d=1 t=14332
zhe gai 	遮蓋	c=1 d=1 t=7353
zhe ge 	這個	c=89 d=6.44564 t=14509
zhe hua 	這話	c=1 d=1 t=10989
zhe ji zhang 	這幾張	c=1 d=1 t=1135
zhe jiu shi 	這就是	c=1 d=1 t=595
zhe ke neng 	這可能	c=1 d=1 t=14382
zhe kou 	折扣	c=1 d=1 t=7785
zhe lei 	這類	c=1 d=1 t=5245
zhe li 	這裏	c=24 d=1.19014 t=13696
zhe li mian 	這裏麪	c=2 d=1 t=13236
zhe liang 	這兩	c=1 d=1 t=11646
zhe liang ge 	這兩個	c=8 d=1.54064 t=11821
zhe liang tiao 	這兩條	c=1 d=1 t=10375
zhe liang xiang 	這兩項	c=2 d=1 t=8348
zhe liang zhe 	這兩者	c=1 d=1 t=14432
zhe liang zhong 	這兩種	c=4 d=1.00005 t=14183
zhe me 	這麼	c=9 d=1.5041 t=9720
zhe me jiu 	這麼久	c=1 d=1 t=8879
zhe san ge 	這三個	c=2 d=1.97045 t=295
zhe shi 	這是	c=6 d=1.69651 t=12766
zhe xia 	這下	c=1 d=1 t=2482
zhe xie 	這些	c=14 d=1.17922 t=13430
zhe yang 	這樣	c=16 d=1.00924 t=14489
zhe yang gai 	這樣該	c=1 d=1 t=5888
zhe yang zi 	這樣子	c=1 d=1 t=9414
zhe yi ci 	這一次	c=1 d=1 t=999
zhe zhong 	這種	c=7 d=1.00037 t=11265
zhen 	真	c=3 d=1.04318 t=10783
zhen dang qi 	振盪器	c=1 d=1 t=12906
zhen de 	真的	c=1 d=1 t=7123
zhen ding 	鎮定	c=12 d=1.48467 t=5087
zhen dui 	針對	c=13 d=1 t=11604
zhen ke lian 	真可憐	c=1 d=1 t=10616
zhen shu fu 	真舒服	c=1 d=1 t=10611
zhen xian mu 	真羨慕	c=1 d=1 t=8706
zheng 	整	c=1 d=1 t=10658
zheng 	正	c=1 d=0.940095 t=3906
zheng ban 	正版	c=2 d=1.94176 t=8774
zheng chang 	正常	c=11 d=1.05146 t=13425
zheng ding 	正定	c=2 d=1.92774 t=6990
zheng ge 	整個	c=2 d=1 t=10816
zheng guo 	正果	c=1 d=1 t=3233
zheng he 	整合	c=1 d=1 t=12276
zheng li 	整理	c=5 d=1 t=10184
zheng ling 	政令	c=1 d=1 t=13744
zheng ming 	證明	c=36 d=0.1 t=13745
zheng ming le 	證明了	c=1 d=1 t=13746
zheng ming ren 	證明人	c=1 d=1 t=7529
zheng qu 	爭取	c=1 d=1 t=9011
zheng que 	正確	c=3 d=1 t=9645
zheng ru 	正如	c=2 d=1.0101 t=13897
zheng shi 	正式	c=1 d=1 t=13758
zheng shi 	證實	c=1 d=1 t=13759
zheng shu 	整數	c=1 d=1 t=11173
zheng shu 	證書	c=5 d=4.80539 t=8747
zheng ti 	整體	c=4 d=1 t=12949
zheng wen 	正文	c=1 d=1 t=7627
zheng xiang 	正向	c=1 d=1 t=12931
zheng xiang guan 	整相關	c=1 d=1 t=3870
zheng yi ge 	正一個	c=1 d=1 t=2895
zhi 	之	c=1 d=1 t=6354
zhi 	值	c=6 d=1.33894 t=14076
zhi 	只	c=8 d=1.00006 t=13333
zhi 	指	c=1 d=1 t=6513
zhi 	直	c=1 d=1 t=11517
zhi biao 	指標	c=15 d=1.92774 t=13725
zhi bu guo 	只不過	c=1 d=1 t=998
zhi chi 	支持	c=3 d=1.00002 t=10180
zhi chu 	指出	c=6 d=1 t=13882
zhi da 	直達	c=0 d=0.1 t=21
zhi dao 	指導	c=3 d=1.12046 t=11402
zhi dao la 	知道啦	c=2 d=1.97045 t=8295
zhi de 	值得	c=7 d=1.22942 t=12805
zhi de de 	值得的	c=1 d=1 t=12806
zhi ding 	指定	c=2 d=1.98511 t=9668
zhi fu 	支付	c=5 d=1.05061 t=9101
zhi fu bao 	支付寶	c=5 d=1.00327 t=9433
zhi gei chu 	只給出	c=1 d=1 t=5261
zhi guan 	直觀	c=2 d=1.97531 t=9689
zhi hou 	之後	c=2 d=1 t=12500
zhi hu 	支護	c=1 d=1 t=8498
zhi jia 	之家	c=1 d=1 t=5426
zhi jian 	之間	c=2 d=1 t=12564
zhi jie 	直接	c=6 d=2.72699 t=11452
zhi kao lv 	只考慮	c=1 d=1 t=5313
zhi kong 	指控	c=0 d=0.1 t=8551
zhi kong suo 	指控所	c=2 d=1.99501 t=8553
zhi ming 	指明	c=0 d=0.1 t=12798
zhi ming le 	指明了	c=1 d=1 t=12799
zhi nei 	之內	c=1 d=1 t=526
zhi neng 	只能	c=9 d=1.42531 t=11314
zhi neng 	智能	c=4 d=1.00082 t=9640
zhi qian 	之前	c=5 d=1.96332 t=7984
zhi shi 	只是	c=3 d=1 t=10886
zhi shu 	指數	c=32 d=2.33544 t=14464
zhi wang 	指望	c=3 d=1 t=13998
zhi wang 	知網	c=1 d=1 t=13999
zhi wang cha chong 	指望查重	c=1 d=1 t=6479
zhi xian 	直線	c=1 d=1 t=11589
zhi xiang 	只想	c=1 d=1 t=744
zhi xing 	執行	c=8 d=1.751 t=14144
zhi xu yao 	只需要	c=1 d=1 t=1161
zhi yao 	只要	c=2 d=1 t=13613
zhi yao shi 	只要是	c=1 d=1 t=6974
zhi ying dian 	直營店	c=10 d=4.3373 t=7202
zhi you 	只有	c=2 d=1.54064 t=828
zhi yu 	至於	c=2 d=1 t=13765
zhi zheng 	指正	c=1 d=1 t=5358
zhong 	中	c=92 d=1.69405 t=14169
zhong 	種	c=2 d=1 t=14187
zhong guo 	中國	c=5 d=1.08431 t=8669
zhong kong 	中空	c=1 d=1 t=2643
zhong lai 	中來	c=1 d=1 t=6745
zhong wen 	中文	c=21 d=1.56167 t=14467
zhong wen wang 	中文網	c=2 d=1 t=11102
zhong yao 	重要	c=2 d=1.0001 t=14122
zhong zi 	種子	c=1 d=1 t=11113
zhou 	周	c=4 d=2.96159 t=7186
zhou 	軸	c=4 d=1.56556 t=13774
zhou qi 	週期	c=42 d=1.96079 t=9617
zhou qi shi jian 	週期事件	c=1 d=1 t=3928
zhu 	主	c=3 d=1 t=11139
zhu 	住	c=2 d=1.97531 t=7366
zhu ce 	註冊	c=2 d=1 t=9427
zhu ce ma 	註冊碼	c=1 d=1 t=6550
zhu dao 	主導	c=1 d=1 t=9865
zhu ge 	逐個	c=1 d=1 t=14309
zhu lou 	主樓	c=10 d=1.00165 t=2784
zhu shi 	註釋	c=5 d=1.17346 t=8120
zhu su 	住宿	c=2 d=1.7788 t=7480
zhu ti 	主題	c=1 d=1 t=251
zhu ti 	主體	c=1 d=1 t=252
zhu xiao 	註銷	c=1 d=1 t=11071
zhu yao 	主要	c=20 d=1.00033 t=14265
zhu yao shi 	主要是	c=3 d=1 t=12720
zhu ye 	主頁	c=3 d=2.17536 t=362
zhu yi 	注意	c=4 d=1.00357 t=12160
zhu yi 	逐一	c=1 d=1 t=7635
zhu yi dao 	注意到	c=4 d=1.03294 t=5111
zhua ren 	抓人	c=1 d=1 t=11780
zhuan 	賺	c=1 d=1 t=9508
zhuan 	轉	c=7 d=4.56003 t=8225
zhuan chu 	轉出	c=1 d=1 t=4218
zhuan hua 	轉化	c=4 d=1 t=10416
zhuan hua cheng 	轉化成	c=1 d=1 t=4199
zhuan huan 	轉換	c=1 d=1 t=2885
zhuan jie qi 	轉接器	c=1 d=1 t=8227
zhuan li 	專利	c=1 d=1 t=1398
zhuan men 	專門	c=2 d=1.07045 t=12041
zhuan men yong yu 	專門用於	c=1 d=1 t=12042
zhuan tai 	轉檯	c=1 d=1 t=4974
zhuan ye 	專業	c=3 d=1.0251 t=7497
zhuan ye ban 	專業版	c=1 d=1 t=6556
zhuan yong 	專用	c=0 d=0.1 t=12033
zhuan yong yu 	專用於	c=1 d=1 t=12034
zhuan zhang 	轉賬	c=1 d=1 t=8842
zhuang jia 	裝甲	c=1 d=1 t=8456
zhuang tai 	狀態	c=124 d=1.21409 t=12844
zhuang tai pian cha 	狀態偏差	c=1 d=1 t=4808
zhuang tai yi lai 	狀態依賴	c=6 d=1.0043 t=6021
zhun bei 	準備	c=4 d=1.77672 t=7470
zhun que 	準確	c=1 d=1 t=14371
zhun que du 	準確度	c=2 d=1.97045 t=14387
zhun que xing 	準確性	c=2 d=1.99501 t=14455
zhun ze 	準則	c=2 d=1.70822 t=12019
zhuo mian 	桌面	c=4 d=2.7672 t=13056
zhuo zhong 	着重	c=2 d=1.99005 t=14132
zi 	子	c=2 d=1.98511 t=10163
zi 	茲	c=1 d=1 t=7542
zi dai 	自帶	c=1 d=1 t=8644
zi dian 	字典	c=6 d=4.69748 t=9333
zi ding yi 	自定義	c=2 d=1.07172 t=8660
zi dong 	自動	c=3 d=1 t=13624
zi ge 	資格	c=2 d=1.00002 t=2794
zi hao 	字號	c=10 d=4.85488 t=11543
zi ji 	自己	c=10 d=2.84706 t=13217
zi liao 	資料	c=1 d=1 t=13504
zi mu 	字幕	c=8 d=1.56167 t=14468
zi mu wang 	字幕往	c=1 d=1 t=11200
zi shi ying 	自適應	c=1 d=1 t=14400
zi ti 	字體	c=15 d=1.99627 t=11549
zi wo 	自我	c=1 d=1 t=47
zi xu 	自詡	c=1 d=1 t=12595
zi xun 	諮詢	c=5 d=1.22878 t=12596
zi you 	自由	c=1 d=1 t=12033
zi you ren 	自由人	c=6 d=1 t=14517
zi yuan 	資源	c=6 d=1 t=11991
zong 	總	c=2 d=1 t=13269
zong he 	綜合	c=4 d=1.00801 t=4864
zong jie 	總結	c=6 d=1 t=13726
zong ti 	總體	c=1 d=1 t=2096
zong zuo biao 	縱座標	c=4 d=1.99276 t=11509
zou 	走	c=2 d=1.96079 t=13633
zou zhi qian 	走之前	c=1 d=1 t=246
zu 	組	c=3 d=1.0809 t=6741
zu 	阻	c=1 d=1 t=12905
zu cheng 	組成	c=3 d=1.99005 t=12924
zu gou 	足夠	c=2 d=1.00206 t=12959
zu he 	組合	c=3 d=1.00043 t=6240
zu jian 	組件	c=2 d=1.08168 t=2441
zu kang 	阻抗	c=4 d=1.74826 t=12986
zu ni 	阻尼	c=2 d=1.00161 t=14150
zu zhi bu 	組織部	c=2 d=1.98511 t=6542
zui 	最	c=2 d=1.09802 t=14392
zui da 	最大	c=2 d=1.45841 t=10330
zui da zhi 	最大值	c=1 d=1 t=10173
zui e 	罪惡	c=2 d=1.98511 t=9454
zui gao 	最高	c=1 d=1 t=12695
zui hao 	最好	c=3 d=1.09501 t=10910
zui he li 	最合理	c=2 d=1.96561 t=14396
zui hou 	最後	c=9 d=1 t=7269
zui jie jin 	最接近	c=1 d=1 t=11559
zui jin 	最近	c=3 d=1.956 t=9739
zui kai shi 	最開始	c=2 d=1 t=12541
zui qian 	最前	c=0 d=0.1 t=11087
zui qian duan 	最前端	c=1 d=1 t=11088
zui shao 	最少	c=2 d=1 t=11739
zui wan 	最晚	c=1 d=1 t=517
zui xiao hua 	最小化	c=1 d=1 t=13732
zui xin 	最新	c=5 d=2.96533 t=8876
zui you 	最優	c=7 d=1 t=13766
zui zhong 	最終	c=2 d=1 t=11744
zun xun 	遵循	c=1 d=1 t=11717
zuo 	做	c=3 d=1 t=12326
